11/15/2024,ANNUAL FEE,139.00,,648.01
11/14/2024,ANTHROPIC,35.89,,509.01
11/14/2024,APPLE.COM/BILL,7.89,,473.12
11/14/2024,ROGERS      ******1441,354.12,,465.23
11/11/2024,OPENAI *CHATGPT SUBSCR,32.27,,111.11
11/11/2024,Microsoft*Microsoft 365 P,9.04,,78.84
11/07/2024,APPLE.COM/BILL,13.86,,69.80
11/07/2024,TRELLO.COM* ATLASSIAN,9.71,,55.94
11/07/2024,APPLE.COM/BILL,14.68,,46.23
11/04/2024,ADOBE  *ADOBE,33.89,,31.55
10/31/2024,PAYMENT - THANK YOU,,510.00,-2.34
10/27/2024,"CURSOR, AI POWERED IDE",28.50,,507.66
10/27/2024,APPLE.COM/BILL,6.20,,479.16
10/26/2024,TRELLO.COM* ATLASSIAN,9.66,,472.96
10/20/2024,GOOGLE *Google One,3.15,,463.30
10/16/2024,"GITHUB, INC.",14.19,,460.15
10/15/2024,APPLE.COM/BILL,7.89,,445.96
